Temperature,Year,Month
29.5484,1925,Jul
29.1854,1925,Aug
28.188,1925,Sep
25.3539,1925,Oct
20.9391,1925,Nov
16.1938,1925,Dec
13.1281,1926,Jan
14.7666,1926,Feb
17.1084,1926,Mar
22.9541,1926,Apr
28.3076,1926,May
29.9014,1926,Jun
28.6802,1926,Jul
28.1043,1926,Aug
26.0643,1926,Sep
24.4325,1926,Oct
19.6169,1926,Nov
14.8799,1926,Dec
13.8372,1927,Jan
12.8343,1927,Feb
18.4692,1927,Mar
21.3062,1927,Apr
27.6784,1927,May
28.8695,1927,Jun
30.0273,1927,Jul
29.4993,1927,Aug
27.5438,1927,Sep
26.7142,1927,Oct
20.7446,1927,Nov
16.6234,1927,Dec
15.5058,1928,Jan
14.2412,1928,Feb
18.2816,1928,Mar
24.4558,1928,Apr
28.8219,1928,May
28.9186,1928,Jun
29.268,1928,Jul
30.1397,1928,Aug
28.484,1928,Sep
24.3081,1928,Oct
19.4736,1928,Nov
15.3978,1928,Dec
12.609,1929,Jan
14.177,1929,Feb
16.9536,1929,Mar
22.2826,1929,Apr
29.2007,1929,May
29.176,1929,Jun
28.6404,1929,Jul
29.7949,1929,Aug
28.6886,1929,Sep
23.6658,1929,Oct
20.709,1929,Nov
13.439,1929,Dec
12.5531,1930,Jan
14.7998,1930,Feb
18.2429,1930,Mar
23.3069,1930,Apr
26.6093,1930,May
29.3316,1930,Jun
29.8001,1930,Jul
30.2484,1930,Aug
28.1965,1930,Sep
24.8283,1930,Oct
18.9704,1930,Nov
17.3267,1930,Dec
14.5322,1931,Jan
15.1431,1931,Feb
19.2952,1931,Mar
22.7232,1931,Apr
26.3013,1931,May
28.6416,1931,Jun
29.9396,1931,Jul
30.3105,1931,Aug
28.618,1931,Sep
25.4952,1931,Oct
18.8214,1931,Nov
14.639,1931,Dec
12.8215,1932,Jan
15.194,1932,Feb
18.6053,1932,Mar
22.4764,1932,Apr
25.3558,1932,May
29.8684,1932,Jun
30.2462,1932,Jul
30.0537,1932,Aug
27.8674,1932,Sep
26.7917,1932,Oct
19.9749,1932,Nov
14.4574,1932,Dec
13.5009,1933,Jan
16.4315,1933,Feb
18.4099,1933,Mar
20.2416,1933,Apr
26.3704,1933,May
30.2444,1933,Jun
28.6098,1933,Jul
28.5764,1933,Aug
25.9664,1933,Sep
23.3177,1933,Oct
22.6282,1933,Nov
16.1374,1933,Dec
13.6386,1934,Jan
12.7206,1934,Feb
19.5301,1934,Mar
23.339,1934,Apr
27.625,1934,May
29.5753,1934,Jun
29.3777,1934,Jul
29.8196,1934,Aug
27.1472,1934,Sep
25.4242,1934,Oct
21.211,1934,Nov
14.6693,1934,Dec
14.3148,1935,Jan
15.2925,1935,Feb
19.3516,1935,Mar
22.2011,1935,Apr
28.7251,1935,May
30.294,1935,Jun
28.9194,1935,Jul
29.5843,1935,Aug
27.2073,1935,Sep
25.7427,1935,Oct
17.7583,1935,Nov
15.0722,1935,Dec
14.6811,1936,Jan
16.606,1936,Feb
19.917,1936,Mar
23.9793,1936,Apr
27.2317,1936,May
28.5049,1936,Jun
29.8889,1936,Jul
29.8311,1936,Aug
26.44,1936,Sep
26.8394,1936,Oct
21.3971,1936,Nov
13.6784,1936,Dec
11.6942,1937,Jan
15.868,1937,Feb
19.7411,1937,Mar
23.4671,1937,Apr
26.7476,1937,May
28.4463,1937,Jun
29.5465,1937,Jul
29.3756,1937,Aug
29.2067,1937,Sep
25.7514,1937,Oct
20.4363,1937,Nov
16.401,1937,Dec
13.8661,1938,Jan
14.4926,1938,Feb
15.6744,1938,Mar
23.1199,1938,Apr
26.2277,1938,May
27.7499,1938,Jun
29.7234,1938,Jul
30.3334,1938,Aug
27.6044,1938,Sep
24.7007,1938,Oct
18.721,1938,Nov
15.884,1938,Dec
13.9241,1939,Jan
14.8475,1939,Feb
17.9198,1939,Mar
23.1863,1939,Apr
29.1768,1939,May
28.912,1939,Jun
29.6152,1939,Jul
29.2556,1939,Aug
28.7488,1939,Sep
26.8892,1939,Oct
19.2136,1939,Nov
16.2273,1939,Dec
13.8835,1940,Jan
16.0196,1940,Feb
17.5733,1940,Mar
23.284,1940,Apr
27.281,1940,May
30.0647,1940,Jun
29.7692,1940,Jul
28.5432,1940,Aug
27.5172,1940,Sep
25.9843,1940,Oct
19.2916,1940,Nov
14.9059,1940,Dec
14.5028,1941,Jan
17.5,1941,Feb
18.1795,1941,Mar
23.1437,1941,Apr
28.7773,1941,May
29.0291,1941,Jun
29.8392,1941,Jul
29.9236,1941,Aug
26.9763,1941,Sep
23.5047,1941,Oct
20.2251,1941,Nov
13.2529,1941,Dec
12.5661,1942,Jan
15.9433,1942,Feb
18.7562,1942,Mar
23.7192,1942,Apr
27.574,1942,May
29.7847,1942,Jun
28.9104,1942,Jul
28.7195,1942,Aug
26.3473,1942,Sep
24.63,1942,Oct
19.7391,1942,Nov
15.5219,1942,Dec
12.6649,1943,Jan
13.4252,1943,Feb
15.7912,1943,Mar
19.4324,1943,Apr
25.9741,1943,May
27.1963,1943,Jun
29.2166,1943,Jul
29.4742,1943,Aug
27.8106,1943,Sep
26.3077,1943,Oct
21.8876,1943,Nov
16.8457,1943,Dec
12.4744,1944,Jan
14.4917,1944,Feb
18.5324,1944,Mar
22.894,1944,Apr
25.0383,1944,May
29.7892,1944,Jun
28.9953,1944,Jul
29.2617,1944,Aug
27.5933,1944,Sep
25.4292,1944,Oct
18.5434,1944,Nov
14.6573,1944,Dec
12.9848,1945,Jan
12.9658,1945,Feb
15.4096,1945,Mar
20.7353,1945,Apr
27.1961,1945,May
27.6444,1945,Jun
29.5791,1945,Jul
30.6365,1945,Aug
27.5815,1945,Sep
23.643,1945,Oct
19.3782,1945,Nov
13.8581,1945,Dec
14.0819,1946,Jan
13.8027,1946,Feb
17.1951,1946,Mar
22.0802,1946,Apr
26.0871,1946,May
28.5441,1946,Jun
29.163,1946,Jul
29.6502,1946,Aug
28.559,1946,Sep
24.703,1946,Oct
21.1055,1946,Nov
14.9804,1946,Dec
12.8374,1947,Jan
16.0173,1947,Feb
19.5609,1947,Mar
22.4724,1947,Apr
27.3555,1947,May
28.8562,1947,Jun
29.901,1947,Jul
29.9402,1947,Aug
27.2341,1947,Sep
24.3901,1947,Oct
19.0972,1947,Nov
16.5405,1947,Dec
14.2884,1948,Jan
14.6026,1948,Feb
15.1232,1948,Mar
20.9696,1948,Apr
26.263,1948,May
28.5376,1948,Jun
28.8423,1948,Jul
29.1097,1948,Aug
26.7816,1948,Sep
23.5351,1948,Oct
18.7575,1948,Nov
13.1899,1948,Dec
12.2856,1949,Jan
12.5497,1949,Feb
17.0311,1949,Mar
19.5085,1949,Apr
27.8801,1949,May
28.4063,1949,Jun
28.5206,1949,Jul
28.423,1949,Aug
25.6925,1949,Sep
23.9201,1949,Oct
20.6174,1949,Nov
14.6705,1949,Dec
12.3329,1950,Jan
13.7157,1950,Feb
17.4669,1950,Mar
23.6032,1950,Apr
25.7481,1950,May
27.9732,1950,Jun
29.1025,1950,Jul
29.5465,1950,Aug
27.2861,1950,Sep
23.8687,1950,Oct
19.061,1950,Nov
16.4125,1950,Dec
13.3657,1951,Jan
14.6695,1951,Feb
19.2882,1951,Mar
21.6125,1951,Apr
27.3832,1951,May
28.1228,1951,Jun
28.9001,1951,Jul
29.4224,1951,Aug
28.4448,1951,Sep
25.8068,1951,Oct
18.3834,1951,Nov
12.8076,1951,Dec
13.5591,1952,Jan
14.7883,1952,Feb
16.9035,1952,Mar
22.412,1952,Apr
26.2763,1952,May
27.8029,1952,Jun
28.6289,1952,Jul
30.2634,1952,Aug
28.7721,1952,Sep
25.4563,1952,Oct
18.7364,1952,Nov
16.1016,1952,Dec
12.6206,1953,Jan
15.396,1953,Feb
15.8461,1953,Mar
22.0204,1953,Apr
27.1378,1953,May
29.0897,1953,Jun
29.8921,1953,Jul
29.3942,1953,Aug
26.4067,1953,Sep
24.3098,1953,Oct
17.4248,1953,Nov
13.2629,1953,Dec
11.761,1954,Jan
14.4364,1954,Feb
18.3614,1954,Mar
21.4025,1954,Apr
27.112,1954,May
28.2582,1954,Jun
29.237,1954,Jul
29.7343,1954,Aug
26.2039,1954,Sep
23.9091,1954,Oct
19.0008,1954,Nov
13.9159,1954,Dec
14.0948,1955,Jan
16.7236,1955,Feb
18.6322,1955,Mar
22.5811,1955,Apr
26.0302,1955,May
29.2841,1955,Jun
29.5346,1955,Jul
28.693,1955,Aug
27.9437,1955,Sep
25.068,1955,Oct
19.2815,1955,Nov
14.1493,1955,Dec
13.6677,1956,Jan
16.649,1956,Feb
17.3787,1956,Mar
22.1939,1956,Apr
24.8971,1956,May
28.7387,1956,Jun
29.6923,1956,Jul
30.4535,1956,Aug
27.2245,1956,Sep
22.9877,1956,Oct
19.5239,1956,Nov
14.2627,1956,Dec
11.9927,1957,Jan
14.2984,1957,Feb
17.3264,1957,Mar
21.5172,1957,Apr
26.281,1957,May
28.4315,1957,Jun
29.194,1957,Jul
29.5224,1957,Aug
28.4761,1957,Sep
25.6145,1957,Oct
20.2829,1957,Nov
14.7797,1957,Dec
13.2478,1958,Jan
15.0606,1958,Feb
18.7898,1958,Mar
24.211,1958,Apr
25.7158,1958,May
28.5736,1958,Jun
29.3311,1958,Jul
29.5293,1958,Aug
26.8278,1958,Sep
23.4144,1958,Oct
20.0671,1958,Nov
16.4289,1958,Dec
12.98,1959,Jan
11.5944,1959,Feb
16.7666,1959,Mar
22.3389,1959,Apr
26.9329,1959,May
28.5344,1959,Jun
28.4868,1959,Jul
28.9017,1959,Aug
26.24,1959,Sep
22.5018,1959,Oct
18.9799,1959,Nov
14.6901,1959,Dec
13.318,1960,Jan
15.3907,1960,Feb
18.2792,1960,Mar
22.94,1960,Apr
26.7302,1960,May
27.9856,1960,Jun
29.0235,1960,Jul
29.1428,1960,Aug
27.4553,1960,Sep
26.4322,1960,Oct
19.9017,1960,Nov
18.0797,1960,Dec
13.8058,1961,Jan
12.9391,1961,Feb
15.885,1961,Mar
22.2498,1961,Apr
26.1504,1961,May
30.5737,1961,Jun
28.7728,1961,Jul
28.9363,1961,Aug
25.3401,1961,Sep
22.8947,1961,Oct
18.2612,1961,Nov
14.1492,1961,Dec
13.7552,1962,Jan
13.8877,1962,Feb
20.3452,1962,Mar
21.9817,1962,Apr
25.8357,1962,May
29.4708,1962,Jun
29.2906,1962,Jul
30.2901,1962,Aug
27.7116,1962,Sep
25.0743,1962,Oct
22.1172,1962,Nov
14.405,1962,Dec
14.8027,1963,Jan
16.2764,1963,Feb
17.1762,1963,Mar
23.1936,1963,Apr
26.1119,1963,May
29.2984,1963,Jun
29.6475,1963,Jul
29.9387,1963,Aug
28.0908,1963,Sep
25.9338,1963,Oct
19.1003,1963,Nov
14.9087,1963,Dec
11.7099,1964,Jan
13.6262,1964,Feb
18.5029,1964,Mar
22.1789,1964,Apr
24.6228,1964,May
28.3058,1964,Jun
28.3973,1964,Jul
28.8217,1964,Aug
25.7174,1964,Sep
24.004,1964,Oct
18.4565,1964,Nov
14.7469,1964,Dec
13.334,1965,Jan
15.0634,1965,Feb
18.6674,1965,Mar
21.248,1965,Apr
24.7467,1965,May
29.2483,1965,Jun
29.5157,1965,Jul
29.298,1965,Aug
27.3127,1965,Sep
23.1368,1965,Oct
17.987,1965,Nov
13.9536,1965,Dec
13.3039,1966,Jan
14.6072,1966,Feb
17.4803,1966,Mar
22.87,1966,Apr
26.497,1966,May
29.1074,1966,Jun
29.1369,1966,Jul
29.3929,1966,Aug
27.6326,1966,Sep
25.6237,1966,Oct
21.812,1966,Nov
14.4688,1966,Dec
11.8731,1967,Jan
14.0484,1967,Feb
15.2432,1967,Mar
22.0813,1967,Apr
25.2765,1967,May
28.5628,1967,Jun
28.5448,1967,Jul
29.1723,1967,Aug
26.7231,1967,Sep
23.3952,1967,Oct
18.0382,1967,Nov
14.9799,1967,Dec
12.2948,1968,Jan
14.2968,1968,Feb
16.891,1968,Mar
21.9676,1968,Apr
27.0305,1968,May
30.328,1968,Jun
29.7437,1968,Jul
29.3629,1968,Aug
27.3175,1968,Sep
22.9905,1968,Oct
18.5506,1968,Nov
14.5409,1968,Dec
11.9782,1969,Jan
17.0461,1969,Feb
20.946,1969,Mar
21.0105,1969,Apr
25.9576,1969,May
29.9615,1969,Jun
27.9655,1969,Jul
29.0244,1969,Aug
29.0858,1969,Sep
25.1595,1969,Oct
19.5058,1969,Nov
14.8147,1969,Dec
14.3554,1970,Jan
15.3865,1970,Feb
18.2942,1970,Mar
22.8322,1970,Apr
26.2585,1970,May
27.4433,1970,Jun
28.7215,1970,Jul
28.8839,1970,Aug
26.9855,1970,Sep
22.8539,1970,Oct
18.3993,1970,Nov
13.0706,1970,Dec
14.8604,1971,Jan
14.5449,1971,Feb
18.9592,1971,Mar
20.7339,1971,Apr
27.1185,1971,May
28.322,1971,Jun
28.1542,1971,Jul
29.1653,1971,Aug
27.0198,1971,Sep
22.961,1971,Oct
17.747,1971,Nov
13.6627,1971,Dec
12.6045,1972,Jan
14.0208,1972,Feb
17.5991,1972,Mar
23.1365,1972,Apr
26.0301,1972,May
28.3686,1972,Jun
28.7674,1972,Jul
29.6141,1972,Aug
28.2725,1972,Sep
24.8589,1972,Oct
18.0569,1972,Nov
13.3802,1972,Dec
12.7728,1973,Jan
16.3635,1973,Feb
17.3303,1973,Mar
21.9606,1973,Apr
26.0373,1973,May
28.4657,1973,Jun
29.8191,1973,Jul
28.2502,1973,Aug
27.1216,1973,Sep
24.5865,1973,Oct
16.7497,1973,Nov
14.6506,1973,Dec
11.6396,1974,Jan
14.5238,1974,Feb
18.7617,1974,Mar
23.9072,1974,Apr
25.5929,1974,May
28.4092,1974,Jun
29.0929,1974,Jul
28.947,1974,Aug
27.2543,1974,Sep
25.4277,1974,Oct
18.8035,1974,Nov
13.1098,1974,Dec
11.9795,1975,Jan
14.6035,1975,Feb
17.9271,1975,Mar
23.8521,1975,Apr
25.949,1975,May
28.4854,1975,Jun
29.0365,1975,Jul
28.5314,1975,Aug
26.7773,1975,Sep
23.6723,1975,Oct
18.82,1975,Nov
14.0579,1975,Dec
12.3555,1976,Jan
13.2718,1976,Feb
18.0125,1976,Mar
22.7332,1976,Apr
27.0442,1976,May
28.3539,1976,Jun
28.985,1976,Jul
28.1345,1976,Aug
27.52,1976,Sep
25.5513,1976,Oct
19.5307,1976,Nov
15.1417,1976,Dec
13.013,1977,Jan
16.4873,1977,Feb
16.6456,1977,Mar
21.3026,1977,Apr
26.8459,1977,May
29.247,1977,Jun
29.7267,1977,Jul
29.809,1977,Aug
27.3698,1977,Sep
22.5606,1977,Oct
18.7452,1977,Nov
12.9598,1977,Dec
12.5641,1978,Jan
15.5402,1978,Feb
17.9436,1978,Mar
23.0536,1978,Apr
28.0889,1978,May
28.8193,1978,Jun
29.9532,1978,Jul
27.913,1978,Aug
26.9719,1978,Sep
25.2087,1978,Oct
16.7053,1978,Nov
14.5245,1978,Dec
13.2659,1979,Jan
16.7995,1979,Feb
19.5037,1979,Mar
24.042,1979,Apr
26.7368,1979,May
29.9292,1979,Jun
29.2983,1979,Jul
29.666,1979,Aug
27.2189,1979,Sep
25.0369,1979,Oct
20.2032,1979,Nov
13.026,1979,Dec
12.8515,1980,Jan
13.8747,1980,Feb
18.5025,1980,Mar
22.6607,1980,Apr
27.3117,1980,May
28.8713,1980,Jun
29.6762,1980,Jul
29.4464,1980,Aug
26.6363,1980,Sep
24.7163,1980,Oct
19.8813,1980,Nov
14.6348,1980,Dec
11.1627,1981,Jan
13.9615,1981,Feb
18.572,1981,Mar
23.5777,1981,Apr
25.9551,1981,May
29.32,1981,Jun
29.5831,1981,Jul
29.4095,1981,Aug
27.0353,1981,Sep
25.558,1981,Oct
16.9425,1981,Nov
14.9,1981,Dec
14.2984,1982,Jan
13.148,1982,Feb
16.1747,1982,Mar
23.3035,1982,Apr
24.9279,1982,May
28.408,1982,Jun
28.6645,1982,Jul
29.4245,1982,Aug
27.5961,1982,Sep
25.1813,1982,Oct
16.7347,1982,Nov
13.1843,1982,Dec
10.6695,1983,Jan
12.9777,1983,Feb
15.6447,1983,Mar
20.8354,1983,Apr
26.5269,1983,May
28.7682,1983,Jun
29.7022,1983,Jul
28.9855,1983,Aug
27.0402,1983,Sep
22.5854,1983,Oct
19.5075,1983,Nov
14.6447,1983,Dec
12.817,1984,Jan
15.3211,1984,Feb
18.6793,1984,Mar
22.1337,1984,Apr
28.2593,1984,May
27.7376,1984,Jun
28.3892,1984,Jul
28.2091,1984,Aug
27.868,1984,Sep
24.8422,1984,Oct
18.3088,1984,Nov
14.5084,1984,Dec
15.4838,1985,Jan
14.1997,1985,Feb
18.8781,1985,Mar
22.4573,1985,Apr
27.5223,1985,May
29.5325,1985,Jun
28.6852,1985,Jul
29.6186,1985,Aug
27.0385,1985,Sep
22.4322,1985,Oct
19.8404,1985,Nov
15.5014,1985,Dec
13.4861,1986,Jan
16.2081,1986,Feb
19.1789,1986,Mar
22.935,1986,Apr
23.916,1986,May
29.3449,1986,Jun
29.7189,1986,Jul
29.7599,1986,Aug
28.8049,1986,Sep
23.7026,1986,Oct
17.7204,1986,Nov
12.8411,1986,Dec
13.5502,1987,Jan
15.9334,1987,Feb
17.0197,1987,Mar
20.3493,1987,Apr
26.6591,1987,May
28.4133,1987,Jun
29.9489,1987,Jul
29.9844,1987,Aug
27.6834,1987,Sep
23.2103,1987,Oct
18.2833,1987,Nov
14.9901,1987,Dec
13.3607,1988,Jan
14.5675,1988,Feb
18.2391,1988,Mar
23.1774,1988,Apr
28.0743,1988,May
30.1926,1988,Jun
30.6008,1988,Jul
30.1839,1988,Aug
28.1721,1988,Sep
22.6488,1988,Oct
16.7059,1988,Nov
14.3519,1988,Dec
11.0128,1989,Jan
12.8203,1989,Feb
17.3806,1989,Mar
24.5136,1989,Apr
27.2645,1989,May
29.1316,1989,Jun
29.4143,1989,Jul
29.9568,1989,Aug
28.3728,1989,Sep
23.6347,1989,Oct
18.4118,1989,Nov
14.2536,1989,Dec
13.3805,1990,Jan
13.6827,1990,Feb
16.7644,1990,Mar
23.5921,1990,Apr
25.9411,1990,May
28.3755,1990,Jun
29.4555,1990,Jul
28.4838,1990,Aug
26.835,1990,Sep
24.4244,1990,Oct
20.9477,1990,Nov
16.8669,1990,Dec
12.8932,1991,Jan
15.2755,1991,Feb
19.2302,1991,Mar
24.358,1991,Apr
26.9296,1991,May
28.9493,1991,Jun
28.9942,1991,Jul
29.0482,1991,Aug
26.8694,1991,Sep
24.8676,1991,Oct
18.8467,1991,Nov
12.1218,1991,Dec
12.0013,1992,Jan
11.8504,1992,Feb
17.1157,1992,Mar
21.4529,1992,Apr
25.7932,1992,May
30.0275,1992,Jun
29.404,1992,Jul
29.88,1992,Aug
26.6192,1992,Sep
25.3019,1992,Oct
18.8195,1992,Nov
13.0685,1992,Dec
12.2876,1993,Jan
13.2067,1993,Feb
17.105,1993,Mar
23.0815,1993,Apr
25.9704,1993,May
28.9659,1993,Jun
29.39,1993,Jul
30.1454,1993,Aug
28.2008,1993,Sep
26.3213,1993,Oct
20.3106,1993,Nov
16.421,1993,Dec
14.7659,1994,Jan
14.5589,1994,Feb
17.2131,1994,Mar
23.7021,1994,Apr
26.6845,1994,May
28.1613,1994,Jun
29.9094,1994,Jul
29.9002,1994,Aug
28.8294,1994,Sep
26.7687,1994,Oct
17.9349,1994,Nov
13.0212,1994,Dec
13.1031,1995,Jan
14.8999,1995,Feb
18.4529,1995,Mar
21.6456,1995,Apr
25.7754,1995,May
31.1377,1995,Jun
30.4807,1995,Jul
30.1798,1995,Aug
29.2104,1995,Sep
24.5325,1995,Oct
17.2652,1995,Nov
14.2929,1995,Dec
13.916,1996,Jan
15.6829,1996,Feb
18.2587,1996,Mar
21.4115,1996,Apr
28.3495,1996,May
28.5121,1996,Jun
29.5949,1996,Jul
30.203,1996,Aug
29.6434,1996,Sep
23.935,1996,Oct
19.5111,1996,Nov
15.0118,1996,Dec
14.7196,1997,Jan
12.9124,1997,Feb
16.4837,1997,Mar
21.2286,1997,Apr
26.9125,1997,May
29.5898,1997,Jun
30.369,1997,Jul
29.9039,1997,Aug
27.3625,1997,Sep
24.3136,1997,Oct
19.4502,1997,Nov
14.4013,1997,Dec
13.5792,1998,Jan
15.3839,1998,Feb
16.2251,1998,Mar
24.0845,1998,Apr
27.7182,1998,May
28.5872,1998,Jun
30.5714,1998,Jul
31.5233,1998,Aug
29.3131,1998,Sep
25.5166,1998,Oct
19.9602,1998,Nov
15.0794,1998,Dec
14.1599,1999,Jan
16.1782,1999,Feb
18.5814,1999,Mar
22.1174,1999,Apr
27.4668,1999,May
28.7273,1999,Jun
30.3,1999,Jul
30.8718,1999,Aug
29.0977,1999,Sep
25.3235,1999,Oct
19.9985,1999,Nov
15.4581,1999,Dec
13.0538,2000,Jan
13.7269,2000,Feb
16.6968,2000,Mar
